QTY,MAKE,PART NUMBER,PRODUCT NAME,DESCRIPTION,SERIAL,NOTE,SHELF,URL
1,EXTRON,,IN1606,Six Input HDCP-Compliant Scaling Presentation Switcher,,,Z2,avidexloanerlistfremont.pythonanywhere.com/164/
1,EXTRON,,IN1606 ,Six Input HDCP-Compliant Scaling Presentation Switcher,,A1059RR,Z3,avidexloanerlistfremont.pythonanywhere.com/165/
1,EXTRON,,PS12-10C,12 V & 15 V Replacement Power Supplies Featuring ZipClip®,,,Z4,avidexloanerlistfremont.pythonanywhere.com/166/
1,EXTRON,,PS12-10C,12 V & 15 V Replacement Power Supplies Featuring ZipClip®,,,Z5,avidexloanerlistfremont.pythonanywhere.com/167/
1,EXTRON,,PS124,"RETIRED
PS 124
Multiple Output 12 VDC, 48 W Power Supply",,,Z5,avidexloanerlistfremont.pythonanywhere.com/168/
1,EXTRON,,PSA124,"RETIRED
PS 124
Multiple Output 12 VDC, 48 W Power Supply",,,Z5,avidexloanerlistfremont.pythonanywhere.com/169/
1,EXTRON,,RETRACTOR XL SERIES / 2 HDMI ,"Extended Length Cable Retraction System with Speed Control for AVEdge, Cable Cubby, and Select TouchLink Enclosures",,,Z3,avidexloanerlistfremont.pythonanywhere.com/170/
1,EXTRON,,TLP-350-MV,"RETIRED
TLP 350MV
3.5"" Wall Mount TouchLink Touchpanel",,,Z5,avidexloanerlistfremont.pythonanywhere.com/171/
1,EXTRON,,USB EXTENDER DECOR RX,"Twisted Pair Extender for USB Peripherals
",,POWER SUPPLY INCLUDED ,Z3,avidexloanerlistfremont.pythonanywhere.com/172/
1,FRESNEL,,LENS FOR MODEL 9700 OVERHEAD PROJECTOR,Overhead Projector Lens 3M 9700,,,Z6,avidexloanerlistfremont.pythonanywhere.com/173/
1,FURMAN,,PS-8R SERIES-11,POWER CONDITIONER/SEQUENCER WITH SMP+ TECHNOLOGY,,,Z1,avidexloanerlistfremont.pythonanywhere.com/174/
1,GOOGLE MEET,5M21B4032A,MIC POD,Google Meet Mic Pod,,google,Y0,avidexloanerlistfremont.pythonanywhere.com/175/
1,HALL RESEARCH,SC-HDMI-2A,,HDMI Scaler & Audio Extractor,,,Z6,avidexloanerlistfremont.pythonanywhere.com/176/
1,ICRON,ICR2101,,USB 2.0 Ranger 2101 & USB 2.0 Ranger 2104 Extenders,,,Z1,avidexloanerlistfremont.pythonanywhere.com/177/
1,ICRON,ICR2104,,USB 2.0 Ranger 2101 & USB 2.0 Ranger 2104 Extenders,,,Z1,avidexloanerlistfremont.pythonanywhere.com/178/
